Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
1806 Robert St,1806 Robert St,Accessory STR,1,2,12/10/2019 11:59:59 PM,"(29.9303233363646, -90.1087454060237)",3668717.88,522226.45
1223 Touro St,1223 Touro St,Temporary STR,3,6,05/10/2019 09:03:37 PM,"(29.9699757018556, -90.059129820967)",3684272.48885,536816.84103
13 Neron Pl,13 Neron Pl,Accessory STR,2,4,05/03/2019 11:59:59 PM,"(29.9546287316604, -90.1206245397728)",3664861.8,531024.8
1538 Conery St,1538 Conery St,Accessory STR,3,6,04/16/2019 07:36:49 AM,"(29.9299905832009, -90.0865427017968)",3675751.56142,522181.28671
1411 St Roch Ave,1411 St Roch Ave,Accessory STR,1,2,11/16/2019 11:59:59 PM,"(29.9721638407165, -90.0520348244784)",3686509.92041,537637.57882
"4421 Lafaye St New Orleans, LA 70122","4421 Lafaye St New Orleans, LA 70122",Accessory STR,1,2,12/10/2019 11:59:59 PM,"(30.003554828995, -90.0482153696997)",3687591.1366,549066.07259
2013 Third St,2013 Third St,Temporary STR,4,8,06/07/2019 11:59:59 PM,"(29.9355312245994, -90.0869287585509)",3675607.36757,524194.73536
2913 St Claude Ave,2913 St Claude Ave,Accessory STR,1,2,02/11/2019 12:04:35 PM,"(29.9684045382413, -90.046508308052)",3688274.96973,536290.16551
1936 Elysian Fields Ave,1936 Elysian Fields Ave,Temporary STR,4,8,04/08/2019 12:54:19 PM,"(29.9774283472053, -90.0579796658299)",3684606.4729,539530.9532
2634 Upperline St,2634 Upperline St,Temporary STR,3,6,05/17/2019 11:02:17 AM,"(29.9366729469463, -90.1073138142813)",3669146.60993,524540.25305
88 Fontainebleau Dr,88 Fontainebleau Dr,Accessory STR,2,4,12/10/2019 11:59:59 PM,"(29.9534741814756, -90.1138495919958)",3667011.61,530627.73
7513 Hampson St,7513 Hampson St,Accessory STR,3,6,12/10/2019 11:59:59 PM,"(29.940286317928, -90.128866117626)",3662306.85901,525781.81881
326 Camp St Apt 403,326 Camp St Apt 403,Commercial STR,2,4,08/06/2019 11:59:59 PM,"(29.9502827341895, -90.0687910751105)",3681292.69026,529621.8608
