Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,9.96,..,..,14.89,..,..,..,9.65
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95,92.2590484619141,98.6999969482422,92.5,99.5,99.5,99.6260223388672,99.5,99.5,..
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,60.8491554260254,60.5661354064941,86.5005111694336,64.573356628418,97.0993576049805,97.0919723510742,95.5861740112305,97.0756301879883,97.0667114257813,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,557.94969211234,568.964543504121,565.179273313985,556.007220861443,552.996907717033,553.355051712755,546.743010078504,555.138996255113,529.741210284938,..
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.3199999332428,3.45445990562439,3.69521999359131,3.2558000087738,3.5119800567627,3.37331008911133,3.19979000091553,3.21377992630005,..,..
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,37.99,..,..,40.02,..,..,..,44.17
Albania,ALB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9000015258789,100,100,100,100,100,100,100,100,..
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3736.33910071368,3780.69820205676,3855.75973394744,3952.80253807527,4090.371656678,4249.80373367726,4431.53918098494,4543.38652018643,4410.45516523171,4831.86865792215
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.9300000667572,3.53929996490479,3.04999995231628,3.43796992301941,3.96209001541138,3.61173009872437,..,3.91665005683899,3.09999990463257,..
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,22.9,..,25.5,24.8,25,24.6,22.7,23.8,..,..
Algeria,DZA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,50.48,..,..,42.78,..,..,..,44.1
Algeria,DZA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2567367553711,99.7513809204102,99.7894515991211,99.8179779052734,99.8388824462891,99.8540573120117,99.933952331543,99.8000030517578,99.8840103149414,..
Algeria,DZA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.6737289428711,97.288932800293,97.4306106567383,97.6523742675781,98.1268463134766,99.0720062255859,99.0713043212891,98.6810531616211,99.5799026489258,..
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4012.36150560736,4042.92363833722,4112.0760239586,4177.8895415169,4224.03726253056,4192.33769222269,4154.21903821671,4115.39553970687,3834.43898326376,3913.6529137247
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,7.34435987472534,6.50538015365601,5.8663501739502,6.10035991668701,..,..
